Country,Indicator,Year,Value
ALGERIA,Number of bed-places,2001,66523.0
ALGERIA,Average length of stay,2001,3.39
AMERICAN SAMOA,Number of establishments,2001,72.0
AMERICAN SAMOA,Number of rooms,2001,143.0
AMERICAN SAMOA,Number of bed-places,2001,222.0
ANDORRA,Average length of stay,2001,2.85
ANGOLA,Number of rooms,2001,7897.0
ANGOLA,Number of bed-places,2001,14060.0
ANGOLA,Occupancy rate / bed-places,2001,71.0
ANGUILLA,Number of establishments,2001,53.0
ANGUILLA,Number of rooms,2001,1069.0
ANGUILLA,Occupancy rate / bed-places,2001,48.8
ARGENTINA,Number of establishments,2001,7773.0
ARGENTINA,Number of rooms,2001,169236.0
ARGENTINA,Number of bed-places,2001,420447.0
ARMENIA,Occupancy rate / bed-places,2001,24.0
ARMENIA,Average length of stay,2001,6.5
ARUBA,Number of rooms,2001,7783.0
ARUBA,Number of bed-places,2001,15566.0
ARUBA,Occupancy rate / rooms,2001,74.27
AUSTRALIA,Number of rooms,2001,198133.0
AUSTRALIA,Number of bed-places,2001,571560.0
AUSTRALIA,Occupancy rate / rooms,2001,57.3
AUSTRALIA,Average length of stay,2001,2.3
AUSTRIA,Number of establishments,2001,15293.0
AUSTRIA,Number of rooms,2001,288346.0
AUSTRIA,Number of bed-places,2001,587305.0
AUSTRIA,Occupancy rate / bed-places,2001,34.9
AUSTRIA,Average length of stay,2001,3.71
AZERBAIJAN,Number of rooms,2001,5259.0
AZERBAIJAN,Number of bed-places,2001,9403.0
BAHAMAS,Number of rooms,2001,15195.0
BAHAMAS,Number of bed-places,2001,30390.0
BAHAMAS,Occupancy rate / rooms,2001,60.5
BAHAMAS,Average length of stay,2001,4.41
BAHRAIN,Number of establishments,2001,83.0
BAHRAIN,Number of rooms,2001,7368.0
BAHRAIN,Number of bed-places,2001,10314.0
BAHRAIN,Occupancy rate / bed-places,2001,55.79
BANGLADESH,Number of rooms,2001,4550.0
BANGLADESH,Number of bed-places,2001,9789.0
BANGLADESH,Occupancy rate / bed-places,2001,41.61
BARBADOS,Number of rooms,2001,6781.0
BARBADOS,Number of bed-places,2001,13176.0
BARBADOS,Occupancy rate / rooms,2001,51.1
BARBADOS,Average length of stay,2001,7.3
BELARUS,Number of establishments,2001,257.0
BELARUS,Number of rooms,2001,13488.0
BELARUS,Number of bed-places,2001,25397.0
BELARUS,Occupancy rate / rooms,2001,74.51
BELARUS,Occupancy rate / bed-places,2001,39.57
BELARUS,Average length of stay,2001,2.76
BELGIUM,Number of establishments,2001,1961.0
BELGIUM,Number of rooms,2001,61769.0
BELGIUM,Number of bed-places,2001,158676.0
BELIZE,Number of establishments,2001,418.0
BELIZE,Number of rooms,2001,4463.0
BELIZE,Number of bed-places,2001,7187.0
BELIZE,Occupancy rate / rooms,2001,44.8
BELIZE,Average length of stay,2001,7.6
BERMUDA,Number of rooms,2001,3337.0
BERMUDA,Number of bed-places,2001,7915.0
BERMUDA,Occupancy rate / rooms,2001,51.9
BERMUDA,Average length of stay,2001,6.0
BHUTAN,Number of rooms,2001,1215.0
BHUTAN,Number of bed-places,2001,2153.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of establishments,2001,734.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of rooms,2001,16810.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of bed-places,2001,28707.0
"BOLIVIA, PLURINATIONAL STATE OF",Occupancy rate / bed-places,2001,23.1
"BOLIVIA, PLURINATIONAL STATE OF",Average length of stay,2001,2.11
BONAIRE,Number of rooms,2001,1001.0
BONAIRE,Number of bed-places,2001,2907.0
BONAIRE,Occupancy rate / bed-places,2001,46.0
BONAIRE,Average length of stay,2001,8.8
BOSNIA AND HERZEGOVINA,Number of rooms,2001,6956.0
BOSNIA AND HERZEGOVINA,Number of bed-places,2001,14074.0
BOTSWANA,Number of rooms,2001,2800.0
BOTSWANA,Number of bed-places,2001,5400.0
BOTSWANA,Occupancy rate / rooms,2001,24.6
BOTSWANA,Average length of stay,2001,10.3
BRITISH VIRGIN ISLANDS,Number of rooms,2001,2645.0
BRITISH VIRGIN ISLANDS,Occupancy rate / rooms,2001,59.9
BRITISH VIRGIN ISLANDS,Average length of stay,2001,12.0
BRUNEI DARUSSALAM,Number of rooms,2001,2111.0
BRUNEI DARUSSALAM,Number of bed-places,2001,3115.0
BRUNEI DARUSSALAM,Occupancy rate / bed-places,2001,31.5
BULGARIA,Number of establishments,2001,666.0
BULGARIA,Number of bed-places,2001,116044.0
BULGARIA,Occupancy rate / bed-places,2001,29.0
BULGARIA,Average length of stay,2001,4.3
BURKINA FASO,Occupancy rate / rooms,2001,59.96
CABO VERDE,Number of establishments,2001,88.0
CABO VERDE,Number of rooms,2001,2489.0
CABO VERDE,Number of bed-places,2001,4628.0
CABO VERDE,Occupancy rate / bed-places,2001,49.1
CABO VERDE,Average length of stay,2001,4.6
CAMBODIA,Number of establishments,2001,617.0
CAMBODIA,Number of rooms,2001,14703.0
CAMBODIA,Number of bed-places,2001,18277.0
CAMBODIA,Occupancy rate / bed-places,2001,48.0
CANADA,Number of rooms,2001,367271.0
CANADA,Occupancy rate / bed-places,2001,62.1
CAYMAN ISLANDS,Number of rooms,2001,5428.0
CAYMAN ISLANDS,Number of bed-places,2001,17445.0
CAYMAN ISLANDS,Occupancy rate / rooms,2001,55.3
CAYMAN ISLANDS,Average length of stay,2001,4.5
CENTRAL AFRICAN REPUBLIC,Number of rooms,2001,201.0
CENTRAL AFRICAN REPUBLIC,Occupancy rate / rooms,2001,35.77
CENTRAL AFRICAN REPUBLIC,Average length of stay,2001,4.77
CHAD,Number of rooms,2001,719.0
CHAD,Number of bed-places,2001,1308.0
CHAD,Occupancy rate / bed-places,2001,92.0
CHAD,Average length of stay,2001,3.9
CHILE,Number of establishments,2001,2762.0
CHILE,Number of rooms,2001,49898.0
CHILE,Number of bed-places,2001,113010.0
CHILE,Occupancy rate / rooms,2001,32.5
CHILE,Occupancy rate / bed-places,2001,26.1
CHILE,Average length of stay,2001,2.1
CHINA,Number of establishments,2001,7358.0
CHINA,Number of rooms,2001,816260.0
CHINA,Number of bed-places,2001,1533053.0
CHINA,Occupancy rate / rooms,2001,58.45
CHINA,Average length of stay,2001,2.54
COLOMBIA,Number of establishments,2001,1493.0
COLOMBIA,Number of rooms,2001,52635.0
COLOMBIA,Number of bed-places,2001,103200.0
COLOMBIA,Occupancy rate / rooms,2001,44.6
COMOROS,Number of establishments,2001,15.0
COMOROS,Number of rooms,2001,410.0
COMOROS,Number of bed-places,2001,820.0
COMOROS,Occupancy rate / bed-places,2001,17.0
COMOROS,Average length of stay,2001,7.0
CONGO,Number of establishments,2001,297.0
CONGO,Number of rooms,2001,3041.0
CONGO,Occupancy rate / bed-places,2001,42.6
CONGO,Average length of stay,2001,3.5
"CONGO, DEMOCRATIC REPUBLIC OF THE",Number of rooms,2001,5829.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Number of bed-places,2001,10000.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Occupancy rate / bed-places,2001,50.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Average length of stay,2001,7.0
COOK ISLANDS,Number of rooms,2001,868.0
COOK ISLANDS,Number of bed-places,2001,2347.0
COOK ISLANDS,Occupancy rate / rooms,2001,71.1
COSTA RICA,Number of establishments,2001,1935.0
COSTA RICA,Number of rooms,2001,31706.0
COSTA RICA,Occupancy rate / rooms,2001,59.3
CROATIA,Number of establishments,2001,630.0
CROATIA,Number of rooms,2001,74107.0
CROATIA,Number of bed-places,2001,181983.0
CROATIA,Occupancy rate / bed-places,2001,30.32
CROATIA,Average length of stay,2001,5.5
CUBA,Number of establishments,2001,447.0
CUBA,Number of rooms,2001,40158.0
CUBA,Number of bed-places,2001,79178.0
CUBA,Occupancy rate / rooms,2001,64.7
CURAÇAO,Number of rooms,2001,3203.0
CURAÇAO,Occupancy rate / rooms,2001,65.77
CURAÇAO,Average length of stay,2001,8.39
CYPRUS,Number of establishments,2001,801.0
CYPRUS,Number of rooms,2001,43338.0
CYPRUS,Number of bed-places,2001,87834.0
CYPRUS,Occupancy rate / rooms,2001,69.28
CYPRUS,Occupancy rate / bed-places,2001,73.92
CYPRUS,Average length of stay,2001,7.17
CZECH REPUBLIC (CZECHIA),Number of establishments,2001,4112.0
CZECH REPUBLIC (CZECHIA),Number of rooms,2001,95460.0
CZECH REPUBLIC (CZECHIA),Number of bed-places,2001,218645.0
CZECH REPUBLIC (CZECHIA),Occupancy rate / bed-places,2001,48.71
CZECH REPUBLIC (CZECHIA),Average length of stay,2001,2.62
DENMARK,Number of establishments,2001,478.0
DENMARK,Number of rooms,2001,32793.0
DENMARK,Number of bed-places,2001,65099.0
DENMARK,Occupancy rate / rooms,2001,54.0
DENMARK,Occupancy rate / bed-places,2001,40.0
DJIBOUTI,Number of rooms,2001,450.0
DJIBOUTI,Number of bed-places,2001,675.0
DJIBOUTI,Occupancy rate / bed-places,2001,31.1
DOMINICA,Number of rooms,2001,889.0
DOMINICAN REPUBLIC,Number of rooms,2001,54034.0
DOMINICAN REPUBLIC,Number of bed-places,2001,135085.0
DOMINICAN REPUBLIC,Occupancy rate / rooms,2001,66.3
DOMINICAN REPUBLIC,Average length of stay,2001,9.82
ECUADOR,Number of establishments,2001,1725.0
ECUADOR,Number of rooms,2001,36620.0
ECUADOR,Number of bed-places,2001,79100.0
EGYPT,Number of establishments,2001,1057.0
EGYPT,Number of rooms,2001,120720.0
EGYPT,Number of bed-places,2001,241440.0
EGYPT,Occupancy rate / rooms,2001,61.0
EL SALVADOR,Number of rooms,2001,4996.0
EL SALVADOR,Number of bed-places,2001,9992.0
EL SALVADOR,Occupancy rate / bed-places,2001,50.0
EL SALVADOR,Average length of stay,2001,4.0
ERITREA,Number of establishments,2001,395.0
ERITREA,Number of rooms,2001,4509.0
ERITREA,Number of bed-places,2001,9312.0
ERITREA,Occupancy rate / bed-places,2001,48.0
ESTONIA,Number of rooms,2001,5990.0
ESTONIA,Number of bed-places,2001,13991.0
ESTONIA,Occupancy rate / rooms,2001,49.0
ESTONIA,Average length of stay,2001,1.59
ESWATINI,Number of rooms,2001,1276.0
ESWATINI,Number of bed-places,2001,2585.0
ESWATINI,Occupancy rate / bed-places,2001,42.0
ESWATINI,Average length of stay,2001,1.0
ETHIOPIA,Number of rooms,2001,9676.0
ETHIOPIA,Number of bed-places,2001,12570.0
ETHIOPIA,Occupancy rate / bed-places,2001,45.2
ETHIOPIA,Average length of stay,2001,2.4
FIJI,Number of rooms,2001,5520.0
FIJI,Number of bed-places,2001,13075.0
FIJI,Occupancy rate / rooms,2001,46.5
FINLAND,Number of establishments,2001,1016.0
FINLAND,Number of rooms,2001,55268.0
FINLAND,Number of bed-places,2001,118473.0
FINLAND,Occupancy rate / bed-places,2001,48.0
FINLAND,Average length of stay,2001,1.88
FRANCE,Number of establishments,2001,18468.0
FRANCE,Number of rooms,2001,600492.0
FRANCE,Number of bed-places,2001,1200984.0
FRANCE,Occupancy rate / rooms,2001,60.5
FRANCE,Average length of stay,2001,1.89
FRENCH GUIANA,Number of rooms,2001,1255.0
FRENCH GUIANA,Occupancy rate / rooms,2001,50.1
FRENCH POLYNESIA,Number of establishments,2001,294.0
FRENCH POLYNESIA,Number of rooms,2001,4184.0
FRENCH POLYNESIA,Occupancy rate / rooms,2001,58.76
FRENCH POLYNESIA,Average length of stay,2001,10.46
GABON,Number of rooms,2001,2450.0
GABON,Occupancy rate / bed-places,2001,70.0
GAMBIA,Average length of stay,2001,12.9
GEORGIA,Number of establishments,2001,230.0
GEORGIA,Number of rooms,2001,9381.0
GEORGIA,Number of bed-places,2001,18847.0
GEORGIA,Occupancy rate / bed-places,2001,71.0
GERMANY,Number of establishments,2001,38548.0
GERMANY,Number of rooms,2001,884534.0
GERMANY,Number of bed-places,2001,1659695.0
GERMANY,Occupancy rate / bed-places,2001,34.7
GERMANY,Average length of stay,2001,2.33
GHANA,Number of establishments,2001,1053.0
GHANA,Number of rooms,2001,15453.0
GHANA,Number of bed-places,2001,19648.0
GREECE,Number of establishments,2001,8285.0
GREECE,Number of rooms,2001,320467.0
GREECE,Number of bed-places,2001,608104.0
GREECE,Occupancy rate / bed-places,2001,63.4
GREECE,Average length of stay,2001,4.4
GRENADA,Number of rooms,2001,1734.0
GRENADA,Number of bed-places,2001,3142.0
GRENADA,Occupancy rate / bed-places,2001,38.18
GRENADA,Average length of stay,2001,7.23
GUADELOUPE,Number of establishments,2001,162.0
GUADELOUPE,Number of rooms,2001,8019.0
GUADELOUPE,Occupancy rate / rooms,2001,60.07
GUADELOUPE,Average length of stay,2001,5.3
GUAM,Number of rooms,2001,9002.0
GUAM,Occupancy rate / rooms,2001,58.0
GUATEMALA,Number of rooms,2001,16595.0
GUATEMALA,Number of bed-places,2001,43357.0
GUATEMALA,Occupancy rate / rooms,2001,39.9
GUINEA,Number of rooms,2001,3594.0
GUINEA,Occupancy rate / bed-places,2001,70.0
GUINEA,Average length of stay,2001,3.0
HONDURAS,Number of establishments,2001,727.0
HONDURAS,Number of rooms,2001,15906.0
HONDURAS,Number of bed-places,2001,24841.0
"HONG KONG, CHINA",Number of establishments,2001,506.0
"HONG KONG, CHINA",Number of rooms,2001,41842.0
"HONG KONG, CHINA",Occupancy rate / rooms,2001,79.0
HUNGARY,Number of establishments,2001,1994.0
HUNGARY,Number of rooms,2001,59897.0
HUNGARY,Number of bed-places,2001,148225.0
HUNGARY,Occupancy rate / rooms,2001,41.5
HUNGARY,Average length of stay,2001,2.85
ICELAND,Number of establishments,2001,248.0
ICELAND,Number of rooms,2001,6174.0
ICELAND,Number of bed-places,2001,12632.0
ICELAND,Occupancy rate / rooms,2001,45.2
ICELAND,Average length of stay,2001,1.85
INDIA,Number of rooms,2001,82181.0
INDIA,Number of bed-places,2001,164362.0
INDIA,Occupancy rate / rooms,2001,50.4
INDONESIA,Number of establishments,2001,10375.0
INDONESIA,Number of rooms,2001,259450.0
INDONESIA,Number of bed-places,2001,423519.0
INDONESIA,Occupancy rate / rooms,2001,44.79
"IRAN, ISLAMIC REPUBLIC OF",Number of establishments,2001,2278.0
"IRAN, ISLAMIC REPUBLIC OF",Number of rooms,2001,27889.0
"IRAN, ISLAMIC REPUBLIC OF",Number of bed-places,2001,57661.0
"IRAN, ISLAMIC REPUBLIC OF",Occupancy rate / bed-places,2001,28.0
"IRAN, ISLAMIC REPUBLIC OF",Average length of stay,2001,1.15
IRELAND,Number of rooms,2001,61230.0
IRELAND,Number of bed-places,2001,141435.0
IRELAND,Occupancy rate / rooms,2001,61.0
ISRAEL,Number of rooms,2001,46143.0
ISRAEL,Number of bed-places,2001,111248.0
ISRAEL,Occupancy rate / bed-places,2001,40.3
ISRAEL,Average length of stay,2001,3.6
ITALY,Number of rooms,2001,975601.0
ITALY,Number of bed-places,2001,1891281.0
ITALY,Occupancy rate / bed-places,2001,43.2
ITALY,Average length of stay,2001,4.28
JAMAICA,Number of establishments,2001,940.0
JAMAICA,Number of rooms,2001,20220.0
JAMAICA,Number of bed-places,2001,42709.0
JAMAICA,Occupancy rate / rooms,2001,56.3
JAMAICA,Average length of stay,2001,6.6
JAPAN,Number of establishments,2001,71751.0
JAPAN,Number of rooms,2001,1572227.0
JAPAN,Occupancy rate / rooms,2001,70.2
JORDAN,Number of establishments,2001,470.0
JORDAN,Number of rooms,2001,19167.0
JORDAN,Number of bed-places,2001,37175.0
JORDAN,Occupancy rate / rooms,2001,30.5
KAZAKHSTAN,Number of rooms,2001,8821.0
KAZAKHSTAN,Number of bed-places,2001,16296.0
KENYA,Number of rooms,2001,11209.0
KENYA,Number of bed-places,2001,22418.0
KENYA,Occupancy rate / bed-places,2001,40.3
KENYA,Average length of stay,2001,8.4
KIRIBATI,Number of rooms,2001,158.0
KIRIBATI,Number of bed-places,2001,309.0
KIRIBATI,Average length of stay,2001,7.0
"KOREA, REPUBLIC OF",Number of rooms,2001,53478.0
"KOREA, REPUBLIC OF",Occupancy rate / rooms,2001,61.6
KUWAIT,Number of establishments,2001,21.0
KUWAIT,Number of rooms,2001,2646.0
KUWAIT,Number of bed-places,2001,2987.0
KYRGYZSTAN,Number of establishments,2001,91.0
KYRGYZSTAN,Number of rooms,2001,2172.0
KYRGYZSTAN,Number of bed-places,2001,3505.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of establishments,2001,571.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of rooms,2001,8797.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of bed-places,2001,14257.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Occupancy rate / bed-places,2001,51.0
LATVIA,Number of establishments,2001,199.0
LATVIA,Number of rooms,2001,7034.0
LATVIA,Number of bed-places,2001,13139.0
LATVIA,Occupancy rate / bed-places,2001,32.0
LATVIA,Average length of stay,2001,2.8
LEBANON,Number of rooms,2001,15687.0
LEBANON,Number of bed-places,2001,27366.0
LEBANON,Occupancy rate / bed-places,2001,30.0
LIBYA,Number of rooms,2001,12405.0
LIBYA,Number of bed-places,2001,20967.0
LIBYA,Occupancy rate / bed-places,2001,53.0
LIECHTENSTEIN,Number of rooms,2001,609.0
LIECHTENSTEIN,Number of bed-places,2001,1155.0
LIECHTENSTEIN,Occupancy rate / bed-places,2001,29.2
LIECHTENSTEIN,Average length of stay,2001,2.13
LITHUANIA,Number of establishments,2001,231.0
LITHUANIA,Number of rooms,2001,5649.0
LITHUANIA,Number of bed-places,2001,10674.0
LITHUANIA,Occupancy rate / rooms,2001,31.46
LITHUANIA,Occupancy rate / bed-places,2001,25.11
LITHUANIA,Average length of stay,2001,2.19
LUXEMBOURG,Number of establishments,2001,320.0
LUXEMBOURG,Number of rooms,2001,7660.0
LUXEMBOURG,Number of bed-places,2001,14609.0
LUXEMBOURG,Occupancy rate / bed-places,2001,25.9
LUXEMBOURG,Average length of stay,2001,2.1
"MACAO, CHINA",Number of establishments,2001,70.0
"MACAO, CHINA",Number of rooms,2001,9030.0
"MACAO, CHINA",Number of bed-places,2001,18777.0
"MACAO, CHINA",Occupancy rate / rooms,2001,60.66
"MACAO, CHINA",Average length of stay,2001,1.35
MADAGASCAR,Number of establishments,2001,695.0
MADAGASCAR,Number of rooms,2001,8435.0
MADAGASCAR,Number of bed-places,2001,15100.0
MADAGASCAR,Occupancy rate / rooms,2001,66.0
MADAGASCAR,Average length of stay,2001,4.0
MALAWI,Number of rooms,2001,39600.0
MALAWI,Number of bed-places,2001,44251.0
MALAWI,Occupancy rate / bed-places,2001,41.0
MALAWI,Average length of stay,2001,8.1
MALAYSIA,Number of establishments,2001,1776.0
MALAYSIA,Number of rooms,2001,130757.0
MALAYSIA,Occupancy rate / rooms,2001,58.6
MALDIVES,Number of establishments,2001,208.0
MALDIVES,Number of rooms,2001,9383.0
MALDIVES,Number of bed-places,2001,18765.0
MALDIVES,Occupancy rate / bed-places,2001,65.61
MALDIVES,Average length of stay,2001,8.53
MALI,Number of establishments,2001,134.0
MALI,Number of rooms,2001,2816.0
MALI,Number of bed-places,2001,3146.0
MALI,Occupancy rate / rooms,2001,34.0
MALI,Average length of stay,2001,2.0
MALTA,Number of bed-places,2001,40691.0
MALTA,Occupancy rate / bed-places,2001,52.73
MALTA,Average length of stay,2001,9.0
MARTINIQUE,Number of establishments,2001,173.0
MARTINIQUE,Number of rooms,2001,6768.0
MARTINIQUE,Number of bed-places,2001,14566.0
MARTINIQUE,Occupancy rate / rooms,2001,42.6
MARTINIQUE,Average length of stay,2001,8.7
MAURITIUS,Number of establishments,2001,95.0
MAURITIUS,Number of rooms,2001,9024.0
MAURITIUS,Number of bed-places,2001,18350.0
MAURITIUS,Occupancy rate / rooms,2001,66.0
MEXICO,Number of establishments,2001,11218.0
MEXICO,Number of rooms,2001,458123.0
MEXICO,Number of bed-places,2001,916246.0
MEXICO,Occupancy rate / rooms,2001,52.83
MEXICO,Average length of stay,2001,3.15
"MOLDOVA, REPUBLIC OF",Number of rooms,2001,2905.0
"MOLDOVA, REPUBLIC OF",Number of bed-places,2001,5479.0
"MOLDOVA, REPUBLIC OF",Occupancy rate / bed-places,2001,17.1
MONACO,Number of establishments,2001,18.0
MONACO,Number of rooms,2001,2174.0
MONACO,Number of bed-places,2001,3545.0
MONACO,Occupancy rate / rooms,2001,65.9
MONACO,Average length of stay,2001,2.96
MOROCCO,Number of establishments,2001,590.0
MOROCCO,Number of rooms,2001,47755.0
MOROCCO,Number of bed-places,2001,97001.0
MOROCCO,Occupancy rate / rooms,2001,48.0
MOROCCO,Occupancy rate / bed-places,2001,40.0
MOROCCO,Average length of stay,2001,6.5
MOZAMBIQUE,Number of bed-places,2001,11790.0
MOZAMBIQUE,Occupancy rate / bed-places,2001,20.9
MOZAMBIQUE,Average length of stay,2001,2.0
MYANMAR,Number of establishments,2001,208.0
MYANMAR,Number of rooms,2001,15752.0
MYANMAR,Number of bed-places,2001,31504.0
MYANMAR,Occupancy rate / rooms,2001,22.0
MYANMAR,Average length of stay,2001,4.0
NAMIBIA,Number of establishments,2001,68.0
NAMIBIA,Number of rooms,2001,2352.0
NAMIBIA,Number of bed-places,2001,4913.0
NAMIBIA,Occupancy rate / bed-places,2001,49.8
NAMIBIA,Average length of stay,2001,1.9
NAMIBIA,Available capacity (bed-places per 1000 inhabitans),2001,2.6940225381059153
NEPAL,Number of rooms,2001,18880.0
NEPAL,Number of bed-places,2001,36163.0
NETHERLANDS,Number of bed-places,2001,174000.0
NETHERLANDS,Occupancy rate / bed-places,2001,44.97
NETHERLANDS,Average length of stay,2001,1.9
NEW CALEDONIA,Number of rooms,2001,1582.0
NEW CALEDONIA,Occupancy rate / rooms,2001,47.8
NEW CALEDONIA,Average length of stay,2001,4.1
NEW ZEALAND,Number of establishments,2001,2525.0
NEW ZEALAND,Number of rooms,2001,68348.0
NEW ZEALAND,Occupancy rate / rooms,2001,52.0
NEW ZEALAND,Average length of stay,2001,2.0
NICARAGUA,Number of rooms,2001,3442.0
NICARAGUA,Number of bed-places,2001,6006.0
NICARAGUA,Average length of stay,2001,2.6
NIGER,Number of establishments,2001,55.0
NIGER,Number of rooms,2001,1304.0
NIGER,Number of bed-places,2001,2563.0
NIGER,Occupancy rate / bed-places,2001,43.0
NIGER,Average length of stay,2001,5.0
NIGERIA,Number of establishments,2001,1255.0
NIGERIA,Number of bed-places,2001,27678.0
NIGERIA,Occupancy rate / bed-places,2001,75.4
NIUE,Number of establishments,2001,7.0
NIUE,Number of rooms,2001,50.0
NIUE,Number of bed-places,2001,106.0
NORTH MACEDONIA,Number of establishments,2001,142.0
NORTH MACEDONIA,Number of rooms,2001,6726.0
NORTH MACEDONIA,Number of bed-places,2001,16342.0
NORTH MACEDONIA,Occupancy rate / bed-places,2001,7.8
NORTH MACEDONIA,Average length of stay,2001,3.8
NORTHERN MARIANA ISLANDS,Number of establishments,2001,56.0
NORTHERN MARIANA ISLANDS,Number of rooms,2001,4521.0
NORTHERN MARIANA ISLANDS,Occupancy rate / rooms,2001,54.43
NORWAY,Number of establishments,2001,1160.0
NORWAY,Number of rooms,2001,66427.0
NORWAY,Number of bed-places,2001,143802.0
NORWAY,Occupancy rate / bed-places,2001,37.0
NORWAY,Average length of stay,2001,1.67
OMAN,Number of rooms,2001,5729.0
OMAN,Number of bed-places,2001,8649.0
OMAN,Occupancy rate / rooms,2001,45.0
PAKISTAN,Number of establishments,2001,1427.0
PAKISTAN,Number of rooms,2001,35522.0
PAKISTAN,Number of bed-places,2001,53286.0
PAKISTAN,Occupancy rate / bed-places,2001,55.0
PAKISTAN,Average length of stay,2001,1.31
PALAU,Number of rooms,2001,925.0
PALAU,Average length of stay,2001,7.0
PANAMA,Number of rooms,2001,13898.0
PANAMA,Number of bed-places,2001,27289.0
PANAMA,Occupancy rate / rooms,2001,37.23
PANAMA,Average length of stay,2001,2.25
PAPUA NEW GUINEA,Number of rooms,2001,1976.0
PAPUA NEW GUINEA,Number of bed-places,2001,2859.0
PAPUA NEW GUINEA,Average length of stay,2001,9.1
PARAGUAY,Number of establishments,2001,157.0
PARAGUAY,Number of rooms,2001,4866.0
PARAGUAY,Number of bed-places,2001,10705.0
PARAGUAY,Occupancy rate / bed-places,2001,37.0
PARAGUAY,Average length of stay,2001,2.33
PERU,Number of establishments,2001,7250.0
PERU,Number of rooms,2001,120123.0
PERU,Number of bed-places,2001,204263.0
PERU,Occupancy rate / bed-places,2001,25.35
PERU,Average length of stay,2001,1.37
PHILIPPINES,Number of establishments,2001,424.0
PHILIPPINES,Number of rooms,2001,28971.0
PHILIPPINES,Number of bed-places,2001,57942.0
PHILIPPINES,Occupancy rate / bed-places,2001,55.85
PHILIPPINES,Average length of stay,2001,2.73
POLAND,Number of establishments,2001,1391.0
POLAND,Number of rooms,2001,60658.0
POLAND,Number of bed-places,2001,118213.0
POLAND,Occupancy rate / rooms,2001,37.9
POLAND,Average length of stay,2001,3.24
PORTUGAL,Number of establishments,2001,1781.0
PORTUGAL,Number of rooms,2001,99120.0
PORTUGAL,Number of bed-places,2001,228665.0
PORTUGAL,Occupancy rate / rooms,2001,62.5
PORTUGAL,Occupancy rate / bed-places,2001,51.7
PORTUGAL,Average length of stay,2001,3.6
PUERTO RICO,Number of rooms,2001,11438.0
PUERTO RICO,Occupancy rate / rooms,2001,66.7
PUERTO RICO,Average length of stay,2001,2.7
QATAR,Number of establishments,2001,21.0
QATAR,Number of rooms,2001,2422.0
REUNION,Number of rooms,2001,2771.0
REUNION,Number of bed-places,2001,5542.0
REUNION,Occupancy rate / bed-places,2001,63.6
REUNION,Average length of stay,2001,6.7
ROMANIA,Number of establishments,2001,2681.0
ROMANIA,Number of rooms,2001,95226.0
ROMANIA,Number of bed-places,2001,199320.0
ROMANIA,Occupancy rate / bed-places,2001,38.4
ROMANIA,Average length of stay,2001,3.7
RUSSIAN FEDERATION,Number of rooms,2001,179300.0
RUSSIAN FEDERATION,Number of bed-places,2001,338429.0
RUSSIAN FEDERATION,Occupancy rate / bed-places,2001,38.0
SABA,Number of rooms,2001,85.0
SAINT KITTS AND NEVIS,Number of rooms,2001,1489.0
SAINT KITTS AND NEVIS,Number of bed-places,2001,2246.0
SAINT LUCIA,Number of rooms,2001,4428.0
SAINT LUCIA,Number of bed-places,2001,8236.0
SAINT LUCIA,Occupancy rate / rooms,2001,57.0
SAINT LUCIA,Average length of stay,2001,10.6
SAINT VINCENT AND THE GRENADINES,Number of rooms,2001,1757.0
SAINT VINCENT AND THE GRENADINES,Number of bed-places,2001,3514.0
SAMOA,Number of rooms,2001,817.0
SAMOA,Number of bed-places,2001,1920.0
SAN MARINO,Number of establishments,2001,26.0
SAN MARINO,Number of rooms,2001,486.0
SAN MARINO,Number of bed-places,2001,1164.0
SAN MARINO,Average length of stay,2001,1.53
SAO TOME AND PRINCIPE,Number of rooms,2001,257.0
SAO TOME AND PRINCIPE,Number of bed-places,2001,448.0
SAUDI ARABIA,Number of rooms,2001,81197.0
SENEGAL,Number of establishments,2001,289.0
SENEGAL,Number of rooms,2001,9589.0
SENEGAL,Number of bed-places,2001,19208.0
SENEGAL,Occupancy rate / bed-places,2001,37.7
SENEGAL,Average length of stay,2001,3.8
SERBIA AND MONTENEGRO,Number of rooms,2001,37782.0
SERBIA AND MONTENEGRO,Number of bed-places,2001,79558.0
SERBIA AND MONTENEGRO,Occupancy rate / bed-places,2001,21.8
SERBIA AND MONTENEGRO,Average length of stay,2001,4.2
SEYCHELLES,Number of rooms,2001,2444.0
SEYCHELLES,Number of bed-places,2001,4940.0
SEYCHELLES,Occupancy rate / bed-places,2001,52.0
SIERRA LEONE,Number of rooms,2001,739.0
SIERRA LEONE,Number of bed-places,2001,863.0
SIERRA LEONE,Occupancy rate / bed-places,2001,19.0
